ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORDENADAS-ETRS89,COORDENADAS-WGS84,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TOTAL_ELEM,tipo,CANTIDAD_JUEGOS_POR_TIPO,CAPACIDAD_MAX
3568711,Circuito_deportivo_elemental,85,La_paz,8.0,Fuencarral-el_pardo,Operativo,"[440597.41, 4481480.16]","[-3.70085781, 40.48188796]",Calle,Pedro_rico,001,28029.0,"Calle_pedro_rico, 001",20103366.0,2017-03-08T00:00:00Z,D0852,AE21,5,Deportivas,"{'Deportivas': 6, 'Infantiles': 0, 'Mayores': 0}",37
3569210,Circuito_deportivo_elemental,87,Mirasierra,8.0,Fuencarral-el_pardo,Operativo,"[438497.36, 4482668.09]","[-3.72574853, 40.49243631]",Calle,Maria_de_maeztu,108,28049.0,"Calle_maria_de_maeztu, 108",31052003.0,2017-10-09T00:00:00Z,D0854,AE21,9,Deportivas,"{'Deportivas': 5, 'Infantiles': 6, 'Mayores': 0}",32
3573005,Circuito_deportivo_elemental,192,Valdebernardo,19.0,Vicalvaro,Operativo,"[446968.13, 4472539.44]","[-3.62495141, 40.40177615]",Calle,Ladera_de_los_almendros,14E,28032.0,"Calle_ladera_de_los_almendros, 14E",20151600.0,2013-10-20T00:00:00Z,D1950,AE21,12,Deportivas,"{'Deportivas': 3, 'Infantiles': 7, 'Mayores': 0}",40
3573016,Circuito_deportivo_elemental,192,Valdebernardo,19.0,Vicalvaro,Operativo,"[447538.38, 4471701.76]","[-3.61816268, 40.3942659]",Avenida,Democracia,050,28031.0,"Avenida_democracia, 050",20165254.0,2013-10-20T00:00:00Z,D1953,AE21,11,Deportivas,"{'Deportivas': 3, 'Infantiles': 0, 'Mayores': 0}",19
3573208,Circuito_deportivo_elemental,183,Ensanche_de_vallecas,18.0,Villa_de_vallecas,Operativo,"[449416.79, 4468380.84]","[-3.59576667, 40.36446486]",Calle,Maria_teresa_leon,1G,28051.0,"Calle_maria_teresa_leon, 01G",31026567.0,2013-10-20T00:00:00Z,D1854,AE21,3,Deportivas,"{'Deportivas': 0, 'Infantiles': 0, 'Mayores': 0}",38
3573331,Circuito_deportivo_elemental,182,Santa_eugenia,18.0,Villa_de_vallecas,Operativo,"[448854.01, 4469974.4]","[-3.60252257, 40.37878646]",Calle,Poza_de_la_sal,003,28031.0,"Calle_poza_de_la_sal, 003",11131688.0,2013-10-23T00:00:00Z,D1851,AE21,5,Deportivas,"{'Deportivas': 2, 'Infantiles': 2, 'Mayores': 0}",32
3573333,Circuito_deportivo_elemental,181,Casco_historico_de_vallecas,18.0,Villa_de_vallecas,Operativo,"[446970.232, 4469259.493]","[-3.62465361, 40.37222835]",Calle,Babilafuente,002,28031.0,"Calle_babilafuente, 002",20170570.0,2013-10-20T00:00:00Z,D1853,AE21,4,Deportivas,"{'Deportivas': 2, 'Infantiles': 0, 'Mayores': 5}",32
3573466,Circuito_deportivo_elemental,181,Casco_historico_de_vallecas,18.0,Villa_de_vallecas,Operativo,"[446183.7, 4469509.08]","[-3.63393894, 40.37442638]",Carretera,Villaverde_a_vallecas,289,28031.0,"Carretera_villaverde_a_vallecas, 289",20180908.0,2013-10-20T00:00:00Z,D1856,AE21,9,Deportivas,"{'Deportivas': 3, 'Infantiles': 0, 'Mayores': 0}",39
4792795,Circuito_deportivo_elemental,192,Valdebernardo,19.0,Vicalvaro,Operativo,"[446881.88, 4472327.78]","[-3.6259501, 40.39986388]",Autovia,M-40,1500EX,28032.0,"Autovia_m-40, 1500EX",31031401.0,2017-12-20T00:00:00Z,D1954,AE21,8,Deportivas,"{'Deportivas': 0, 'Infantiles': 0, 'Mayores': 0}",39
4792812,Circuito_deportivo_elemental,191,Casco_historico_de_vicalvaro,19.0,Vicalvaro,Operativo,"[449811.48, 4473216.06]","[-3.5914992, 40.40804785]",Calle,Abad_juan_catalan,070,28032.0,"Calle_abad_juan_catalan, 070",31037333.0,2017-12-18T00:00:00Z,D1957,AE21,8,Deportivas,"{'Deportivas': 8, 'Infantiles': 0, 'Mayores': 0}",38
4795141,Circuito_deportivo_elemental,134,Palomeras_sureste,13.0,Puente_de_vallecas,Operativo,"[446093.72, 4470974.62]","[-3.63512279, 40.38762311]",Avenida,Miguel_hernandez,048,28038.0,"Avenida_miguel_hernandez, 048",20035278.0,2017-06-08T00:00:00Z,D1355,AE21,6,Deportivas,"{'Deportivas': 3, 'Infantiles': 0, 'Mayores': 0}",34
4986445,Circuito_deportivo_elemental,172,San_cristobal,17.0,Villaverde,Operativo,"[441299.28, 4466363.19]","[-3.69118256, 40.34575667]",Calle,Beniferri,002,28021.0,"Calle_beniferri, 002",11126150.0,2018-11-30T00:00:00Z,D1756,AE21,11,Deportivas,"{'Deportivas': 10, 'Infantiles': 0, 'Mayores': 0}",23
4988362,Circuito_deportivo_elemental,52,Prosperidad,5.0,Chamartin,Operativo,"[443204.75, 4476943.93]","[-3.66969137, 40.44120593]",Calle,Corazon_de_maria,018,28002.0,"Calle_corazon_de_maria, 018",20120209.0,2018-12-20T00:00:00Z,D0502,AE21,4,Deportivas,"{'Deportivas': 4, 'Infantiles': 0, 'Mayores': 0}",40
3568708,Circuito_deportivo_elemental,97,Aravaca,9.0,Moncloa-aravaca,Operativo,"[433267.98, 4478349.75]","[-3.78699707, 40.45313183]",Calle,Escultor_peresejo,060,28023.0,"Calle_escultor_peresejo, 060",20063772.0,2006-01-25T00:00:00Z,D0950,AE21,11,Deportivas,"{'Deportivas': 2, 'Infantiles': 2, 'Mayores': 0}",4
3568959,Circuito_deportivo_elemental,44,Guindalera,4.0,Salamanca,Operativo,"[444014.4, 4477014.43]","[-3.66015134, 40.44189594]",Avenida,Brasilia,006,28028.0,"Avenida_brasilia, 006",31026007.0,3568959-FECHA_INSTALACION-incorrecta,D0451,AE21,6,Deportivas,"{'Deportivas': 6, 'Infantiles': 0, 'Mayores': 0}",13
3569421,Circuito_deportivo_elemental,62,Cuatro_caminos,6.0,Tetuan,Operativo,"[440796.97, 4478265.17]","[-3.69820349, 40.45294029]",Avenida,General_peron,005,28020.0,"Avenida_general_peron, 005",11029966.0,2004-01-01T00:00:00Z,D0652,AE21,9,Deportivas,"{'Deportivas': 6, 'Infantiles': 0, 'Mayores': 0}",22
3573015,Circuito_deportivo_elemental,191,Casco_historico_de_vicalvaro,19.0,Vicalvaro,Operativo,"[449242.72, 4473418.81]","[-3.59821817, 40.40983987]",Paseo,Polideportivo,144,28032.0,"Paseo_polideportivo, 144",20154043.0,3573015-FECHA_INSTALACION-incorrecta,D1951,AE21,11,Deportivas,"{'Deportivas': 0, 'Infantiles': 0, 'Mayores': 0}",20
3573050,Circuito_deportivo_elemental,113,San_isidro,11.0,Carabanchel,Operativo,"[438262.05, 4471523.78]","[-3.72744201, 40.39202662]",Calle,El_toboso,025,28019.0,"Calle_el_toboso, 025",11073134.0,3573050-FECHA_INSTALACION-incorrecta,D1156,AE21,13,Deportivas,"{'Deportivas': 2, 'Infantiles': 0, 'Mayores': 0}",4
3573330,Circuito_deportivo_elemental,182,Santa_eugenia,18.0,Villa_de_vallecas,Operativo,"[448301.55, 4470260.53]","[-3.60905366, 40.38133003]",Calle,Zazuar,012,28031.0,"Calle_zazuar, 012",31011883.0,2013-10-23T00:00:00Z,D1850,AE21,10,Deportivas,"{'Deportivas': 12, 'Infantiles': 0, 'Mayores': 0}",26
3573332,Circuito_deportivo_elemental,182,Santa_eugenia,18.0,Villa_de_vallecas,Operativo,"[448611.62, 4469846.57]","[-3.60536757, 40.37761997]",Calle,Poza_de_la_sal,019,28031.0,"Calle_poza_de_la_sal, 019",11131700.0,2013-10-23T00:00:00Z,D1855,AE21,7,Deportivas,"{'Deportivas': 3, 'Infantiles': 0, 'Mayores': 0}",9
3573350,Circuito_deportivo_elemental,181,Casco_historico_de_vallecas,18.0,Villa_de_vallecas,Operativo,"[447019.82, 4469328.46]","[-3.62407526, 40.3728528]",Calle,Babilafuente,001,28031.0,"Calle_babilafuente, 001",20170576.0,2013-10-20T00:00:00Z,D1852,AE21,11,Deportivas,"{'Deportivas': 5, 'Infantiles': 3, 'Mayores': 0}",32
4792788,Circuito_deportivo_elemental,192,Valdebernardo,19.0,Vicalvaro,Operativo,"[447539.09, 4472342.72]","[-3.61820713, 40.40004013]",Calle,Cordel_de_pavones,009,28032.0,"Calle_cordel_de_pavones, 009",31006992.0,4792788-FECHA_INSTALACION-incorrecta,D1956,AE21,8,Deportivas,"{'Deportivas': 1, 'Infantiles': 0, 'Mayores': 0}",5
4792806,Circuito_deportivo_elemental,191,Casco_historico_de_vicalvaro,19.0,Vicalvaro,Operativo,"[447675.68, 4473620.38]","[-3.61670266, 40.41155872]",Avenida,Daroca,299,28032.0,"Avenida_daroca, 299",31041868.0,4792806-FECHA_INSTALACION-incorrecta,D1955,AE21,7,Deportivas,"{'Deportivas': 12, 'Infantiles': 0, 'Mayores': 0}",37
4794560,Circuito_deportivo_elemental,62,Cuatro_caminos,6.0,Tetuan,Operativo,"[441208.42, 4477835.59]","[-3.69331167, 40.44909965]",Paseo,Castellana,75B,28046.0,"Paseo_castellana, 75B",20181752.0,2018-06-18T00:00:00Z,D0653,AE21,9,Deportivas,"{'Deportivas': 3, 'Infantiles': 0, 'Mayores': 0}",39
4985933,Circuito_deportivo_elemental,181,Casco_historico_de_vallecas,18.0,Villa_de_vallecas,Operativo,"[446385.04, 4468656.83]","[-3.63149569, 40.36676172]",Calle,Perales_del_rio,014,28031.0,"Calle_perales_del_rio, 014",31042406.0,2018-06-01T00:00:00Z,D1857,AE21,6,Deportivas,"{'Deportivas': 2, 'Infantiles': 0, 'Mayores': 0}",35
4988302,Circuito_deportivo_elemental,194,El_cañaveral,19.0,Vicalvaro,Operativo,"[452083.52, 4472894.74]","[-3.56469903, 40.40528704]",Calle,Alto_del_esparragal,214,28052.0,"Calle_alto_del_esparragal, 214",31047359.0,4988302-FECHA_INSTALACION-incorrecta,D1958,AE21,9,Deportivas,"{'Deportivas': 7, 'Infantiles': 0, 'Mayores': 0}",9
3740686,Circuito_deportivo_elemental,52,Prosperidad,5.0,Chamartin,Operativo,"[443654.16, 4478163.31]","[-3.66450074, 40.45222129]",Calle,Padre_claret,038,28002.0,"Calle_padre_claret, 038",31041818.0,2017-12-01T00:00:00Z,D0501,AE21,5,Deportivas,"{'Deportivas': 10, 'Infantiles': 8, 'Mayores': 3}",23
3971913,Circuito_deportivo_elemental,124,Almendrales,12.0,Usera,Operativo,"[441061.86, 4470414.01]","[-3.69435226, 40.38223204]",Calle,Añafil,014,28026.0,"Calle_añafil, 014",31009895.0,2016-02-08T00:00:00Z,D1253,AE21,8,Deportivas,"{'Deportivas': 4, 'Infantiles': 0, 'Mayores': 0}",16
451353,Circuito_deportivo_elemental,85,La_paz,8.0,Fuencarral-el_pardo,Operativo,"[441083.07, 4481248.95]","[-3.6951067, 40.47983973]",Avenida,Monforte_de_lemos,012,28029.0,"Avenida_monforte_de_lemos, 012",20095292.0,2015-01-12T00:00:00Z,D0851,AE21,13,Deportivas,"{'Deportivas': 13, 'Infantiles': 0, 'Mayores': 0}",34
451521,Circuito_deportivo_elemental,104,Aluche,10.0,Latina,Operativo,"[435282.347, 4472326.805]","[-3.7626298, 40.3990344]",Paseo,Extremadura,351,28011.0,"Paseo_extremadura, 351",11068877.0,451521-FECHA_INSTALACION-incorrecta,D1054,AE21,11,Deportivas,"{'Deportivas': 11, 'Infantiles': 0, 'Mayores': 0}",31
451542,Circuito_deportivo_elemental,103,Lucero,10.0,Latina,Operativo,"[436461.18, 4472216.34]","[-3.7487286, 40.39813007]",Calle,Cuart_de_poblet,019,28047.0,"Calle_cuart_de_poblet, 019",31016351.0,2021-06-05T00:00:00Z,D1056,AE21,10,Deportivas,"{'Deportivas': 1, 'Infantiles': 0, 'Mayores': 0}",12
5195385,Circuito_deportivo_elemental,171,Villaverde_alto-casco_historico_de_villaverde,17.0,Villaverde,Operativo,"[439209.51, 4466641.08]","[-3.71581362, 40.34811041]",Calle,Sulfato,22E,28021.0,"Calle_sulfato, 22E",20162505.0,2019-09-25T00:00:00Z,D1757,AE21,8,Deportivas,"{'Deportivas': 1, 'Infantiles': 0, 'Mayores': 0}",10
52042,Circuito_deportivo_elemental,24,Legazpi,2.0,Arganzuela,Operativo,"[441938.701, 4470854.699]","[-3.68406303, 40.38626357]",Calle,Puerto_de_la_cruz_verde,023,28045.0,"Calle_puerto_de_la_cruz_verde, 023",20118243.0,2021-04-05T00:00:00Z,D0250,AE21,12,Deportivas,"{'Deportivas': 11, 'Infantiles': 0, 'Mayores': 0}",18
5209117,Circuito_deportivo_elemental,105,Campamento,10.0,Latina,Operativo,"[434271.75, 4471852.53]","[-3.77448864, 40.39468281]",Calle,Cine,033,28024.0,"Calle_cine, 033",11066850.0,2019-08-11T00:00:00Z,D1058,AE21,3,Deportivas,"{'Deportivas': 2, 'Infantiles': 1, 'Mayores': 2}",35
52109,Circuito_deportivo_elemental,113,San_isidro,11.0,Carabanchel,Operativo,"[438192.2, 4472295.05]","[-3.72833983, 40.3989694]",Paseo,Ermita_del_santo,74B,28019.0,"Paseo_ermita_del_santo, 74B",31048276.0,52109-FECHA_INSTALACION-ausente,D1151,AE21,26,Deportivas,"{'Deportivas': 19, 'Infantiles': 7, 'Mayores': 0}",28
52111,Circuito_deportivo_elemental,114,Vista_alegre,11.0,Carabanchel,Operativo,"[436321.81, 4470514.14]","[-3.75020059, 40.38278529]",Calle,Fernando_delgado,008,28047.0,"Calle_fernando_delgado, 008",11074893.0,2021-05-06T00:00:00Z,D1153,AE21,7,Deportivas,"{'Deportivas': 5, 'Infantiles': 4, 'Mayores': 0}",25
52122,Circuito_deportivo_elemental,121,Orcasitas,12.0,Usera,Operativo,"[439068.85, 4468763.84]","[-3.71767252, 40.36722311]",Calle,Beasain,045,28041.0,"Calle_beasain, 045",31030933.0,2013-08-01T00:00:00Z,D1251,AE21,15,Deportivas,"{'Deportivas': 2, 'Infantiles': 0, 'Mayores': 0}",31
5224222,Circuito_deportivo_elemental,171,Villaverde_alto-casco_historico_de_villaverde,17.0,Villaverde,Operativo,"[440624.65, 4465016.49]","[-3.69900034, 40.33357705]",Calle,Transversal_sexta,020,28021.0,"Calle_transversal_sexta, 020",20161828.0,2019-12-18T00:00:00Z,D1758,AE21,6,Deportivas,"{'Deportivas': 4, 'Infantiles': 0, 'Mayores': 0}",28
5653716,Area_de_juegos/especial,35,Los_jeronimos,3.0,Retiro,Operativo,"[442075.992, 4473971.967]","[-3.68272925, 40.41435515]",5653716_TIPO-VIA_desconocida,5653716_nom-via_desconocido,5653716_NUM-VIA_desconocido,28009.0,5653716_DIRECCION-AUX_desconocida,20008546.0,2014-11-03T00:00:00Z,,6,1,Deportivas,"{'Deportivas': 0, 'Infantiles': 0, 'Mayores': 0}",24
5653737,Area_de_juegos/especial,35,Los_jeronimos,3.0,Retiro,Operativo,"[442052.286, 4473575.217]","[-3.6829725, 40.41077938]",5653737_TIPO-VIA_desconocida,5653737_nom-via_desconocido,5653737_NUM-VIA_desconocido,28009.0,5653737_DIRECCION-AUX_desconocida,20008546.0,5653737-FECHA_INSTALACION-incorrecta,,6,24,Deportivas,"{'Deportivas': 0, 'Infantiles': 0, 'Mayores': 0}",23
