ID,FECHA_INTERVENCION,TIPO_INTERVENCION,ESTADO_PREVIO,ESTADO_POSTERIOR,JuegoID,Tipo,Comentarios
1,2024-08-05T00:00:00Z,Correctivo,Malo,Malo,9394146,Preventivo,Comentario_sobre_el_mantenimiento_1
2,2024-03-30T00:00:00Z,Correctivo,Regular,Regular,9224036,Preventivo,Comentario_sobre_el_mantenimiento_2
3,2024-09-17T00:00:00Z,Emergencia,Bueno,Bueno,3849642,Preventivo,Comentario_sobre_el_mantenimiento_3
4,2023-11-01T00:00:00Z,Emergencia,Regular,Bueno,59177,Preventivo,Comentario_sobre_el_mantenimiento_4
5,2024-02-04T00:00:00Z,Emergencia,Bueno,Malo,21957,Preventivo,Comentario_sobre_el_mantenimiento_5
6,2024-03-06T00:00:00Z,Preventivo,Regular,Regular,34208,Queja_usuario,Comentario_sobre_el_mantenimiento_6
7,2023-10-22T00:00:00Z,Preventivo,Bueno,Regular,8803674,Queja_usuario,Comentario_sobre_el_mantenimiento_7
8,2024-01-29T00:00:00Z,Correctivo,Bueno,Regular,3576475,Queja_usuario,Comentario_sobre_el_mantenimiento_8
9,2024-07-01T00:00:00Z,Correctivo,Malo,Regular,5158890,Preventivo,Comentario_sobre_el_mantenimiento_9
10,2024-02-20T00:00:00Z,Emergencia,Regular,Bueno,4988207,Preventivo,Comentario_sobre_el_mantenimiento_10
11,2024-04-09T00:00:00Z,Correctivo,Regular,Bueno,9223682,Preventivo,Comentario_sobre_el_mantenimiento_11
12,2024-08-02T00:00:00Z,Preventivo,Bueno,Bueno,35036,Queja_usuario,Comentario_sobre_el_mantenimiento_12
13,2024-02-17T00:00:00Z,Emergencia,Malo,Regular,58764,Preventivo,Comentario_sobre_el_mantenimiento_13
14,2024-05-25T00:00:00Z,Emergencia,Malo,Regular,7822978,Queja_usuario,Comentario_sobre_el_mantenimiento_14
15,2023-10-18T00:00:00Z,Emergencia,Bueno,Regular,7126930,Queja_usuario,Comentario_sobre_el_mantenimiento_15
16,2024-09-26T00:00:00Z,Correctivo,Malo,Bueno,58422,Preventivo,Comentario_sobre_el_mantenimiento_16
17,2023-11-12T00:00:00Z,Preventivo,Regular,Regular,4731663,Queja_usuario,Comentario_sobre_el_mantenimiento_17
18,2024-02-08T00:00:00Z,Correctivo,Malo,Bueno,20559,Preventivo,Comentario_sobre_el_mantenimiento_18
19,2024-06-08T00:00:00Z,Preventivo,Regular,Malo,21238,Queja_usuario,Comentario_sobre_el_mantenimiento_19
20,2023-12-18T00:00:00Z,Preventivo,Regular,Regular,19725,Queja_usuario,Comentario_sobre_el_mantenimiento_20
21,2023-12-25T00:00:00Z,Emergencia,Regular,Regular,4749929,Preventivo,Comentario_sobre_el_mantenimiento_21
22,2024-04-02T00:00:00Z,Emergencia,Bueno,Regular,25582,Queja_usuario,Comentario_sobre_el_mantenimiento_22
23,2024-06-16T00:00:00Z,Preventivo,Regular,Malo,18826,Preventivo,Comentario_sobre_el_mantenimiento_23
24,2024-06-13T00:00:00Z,Correctivo,Bueno,Regular,20237,Queja_usuario,Comentario_sobre_el_mantenimiento_24
25,2024-07-12T00:00:00Z,Correctivo,Regular,Malo,3997060,Queja_usuario,Comentario_sobre_el_mantenimiento_25
26,2024-05-20T00:00:00Z,Emergencia,Malo,Malo,5241083,Preventivo,Comentario_sobre_el_mantenimiento_26
27,2024-08-19T00:00:00Z,Preventivo,Bueno,Bueno,9497226,Preventivo,Comentario_sobre_el_mantenimiento_27
28,2024-01-03T00:00:00Z,Correctivo,Regular,Bueno,9271148,Preventivo,Comentario_sobre_el_mantenimiento_28
29,2024-05-08T00:00:00Z,Preventivo,Malo,Bueno,33591,Preventivo,Comentario_sobre_el_mantenimiento_29
30,2024-01-02T00:00:00Z,Correctivo,Bueno,Malo,33491,Preventivo,Comentario_sobre_el_mantenimiento_30
31,2023-10-21T00:00:00Z,Correctivo,Regular,Bueno,8888577,Queja_usuario,Comentario_sobre_el_mantenimiento_31
32,2024-09-10T00:00:00Z,Correctivo,Malo,Regular,18703,Preventivo,Comentario_sobre_el_mantenimiento_32
33,2024-05-28T00:00:00Z,Emergencia,Malo,Regular,8928074,Preventivo,Comentario_sobre_el_mantenimiento_33
34,2024-02-03T00:00:00Z,Correctivo,Malo,Bueno,21749,Queja_usuario,Comentario_sobre_el_mantenimiento_34
35,2024-06-23T00:00:00Z,Correctivo,Bueno,Bueno,4737873,Queja_usuario,Comentario_sobre_el_mantenimiento_35
36,2024-09-07T00:00:00Z,Correctivo,Regular,Bueno,35182,Preventivo,Comentario_sobre_el_mantenimiento_36
37,2024-02-08T00:00:00Z,Correctivo,Malo,Malo,8820183,Queja_usuario,Comentario_sobre_el_mantenimiento_37
38,2024-03-16T00:00:00Z,Preventivo,Regular,Malo,19562,Preventivo,Comentario_sobre_el_mantenimiento_38
39,2024-05-16T00:00:00Z,Correctivo,Regular,Malo,32653,Preventivo,Comentario_sobre_el_mantenimiento_39
40,2023-10-29T00:00:00Z,Preventivo,Malo,Bueno,34142,Queja_usuario,Comentario_sobre_el_mantenimiento_40
41,2024-05-19T00:00:00Z,Emergencia,Regular,Bueno,3963370,Queja_usuario,Comentario_sobre_el_mantenimiento_41
42,2024-05-09T00:00:00Z,Correctivo,Regular,Bueno,21442,Queja_usuario,Comentario_sobre_el_mantenimiento_42
43,2024-07-08T00:00:00Z,Correctivo,Regular,Bueno,6878949,Preventivo,Comentario_sobre_el_mantenimiento_43
44,2024-09-05T00:00:00Z,Preventivo,Regular,Bueno,59202,Preventivo,Comentario_sobre_el_mantenimiento_44
45,2024-05-20T00:00:00Z,Preventivo,Malo,Regular,7924749,Preventivo,Comentario_sobre_el_mantenimiento_45
46,2023-11-28T00:00:00Z,Emergencia,Bueno,Bueno,9289730,Preventivo,Comentario_sobre_el_mantenimiento_46
47,2024-09-04T00:00:00Z,Emergencia,Regular,Bueno,19866,Queja_usuario,Comentario_sobre_el_mantenimiento_47
48,2024-06-23T00:00:00Z,Correctivo,Bueno,Regular,9052567,Queja_usuario,Comentario_sobre_el_mantenimiento_48
49,2024-01-31T00:00:00Z,Correctivo,Regular,Malo,3530673,Queja_usuario,Comentario_sobre_el_mantenimiento_49
50,2024-04-28T00:00:00Z,Preventivo,Bueno,Malo,59740,Preventivo,Comentario_sobre_el_mantenimiento_50
51,2024-01-13T00:00:00Z,Correctivo,Bueno,Regular,5241064,Preventivo,Comentario_sobre_el_mantenimiento_51
52,2024-04-01T00:00:00Z,Emergencia,Bueno,Malo,9157760,Preventivo,Comentario_sobre_el_mantenimiento_52
53,2024-04-27T00:00:00Z,Emergencia,Regular,Regular,21140,Preventivo,Comentario_sobre_el_mantenimiento_53
54,2024-06-09T00:00:00Z,Emergencia,Bueno,Bueno,24703,Preventivo,Comentario_sobre_el_mantenimiento_54
55,2024-09-23T00:00:00Z,Emergencia,Malo,Malo,59353,Queja_usuario,Comentario_sobre_el_mantenimiento_55
56,2023-09-11T00:00:00Z,Preventivo,Malo,Malo,6878766,Queja_usuario,Comentario_sobre_el_mantenimiento_56
57,2024-05-26T00:00:00Z,Emergencia,Malo,Bueno,4985742,Preventivo,Comentario_sobre_el_mantenimiento_57
58,2024-07-23T00:00:00Z,Emergencia,Regular,Malo,21681,Preventivo,Comentario_sobre_el_mantenimiento_58
59,2024-01-18T00:00:00Z,Preventivo,Malo,Regular,21688,Queja_usuario,Comentario_sobre_el_mantenimiento_59
60,2024-08-01T00:00:00Z,Correctivo,Malo,Regular,9389678,Queja_usuario,Comentario_sobre_el_mantenimiento_60
61,2024-03-08T00:00:00Z,Preventivo,Bueno,Malo,9129831,Queja_usuario,Comentario_sobre_el_mantenimiento_61
62,2024-03-11T00:00:00Z,Preventivo,Bueno,Malo,25588,Preventivo,Comentario_sobre_el_mantenimiento_62
63,2024-04-04T00:00:00Z,Preventivo,Bueno,Bueno,59771,Preventivo,Comentario_sobre_el_mantenimiento_63
64,2023-10-20T00:00:00Z,Correctivo,Regular,Bueno,25029,Queja_usuario,Comentario_sobre_el_mantenimiento_64
65,2024-05-15T00:00:00Z,Correctivo,Malo,Malo,3580731,Queja_usuario,Comentario_sobre_el_mantenimiento_65
66,2024-07-27T00:00:00Z,Preventivo,Regular,Malo,4750002,Queja_usuario,Comentario_sobre_el_mantenimiento_66
67,2024-02-27T00:00:00Z,Preventivo,Malo,Bueno,21092,Preventivo,Comentario_sobre_el_mantenimiento_67
68,2024-01-08T00:00:00Z,Emergencia,Bueno,Malo,7872672,Queja_usuario,Comentario_sobre_el_mantenimiento_68
69,2023-11-16T00:00:00Z,Emergencia,Bueno,Malo,21339,Queja_usuario,Comentario_sobre_el_mantenimiento_69
70,2024-09-28T00:00:00Z,Preventivo,Regular,Bueno,3573457,Queja_usuario,Comentario_sobre_el_mantenimiento_70
71,2024-03-25T00:00:00Z,Preventivo,Malo,Malo,59163,Queja_usuario,Comentario_sobre_el_mantenimiento_71
72,2023-10-28T00:00:00Z,Emergencia,Regular,Bueno,59925,Preventivo,Comentario_sobre_el_mantenimiento_72
73,2024-03-24T00:00:00Z,Correctivo,Regular,Bueno,33727,Queja_usuario,Comentario_sobre_el_mantenimiento_73
74,2024-02-07T00:00:00Z,Correctivo,Malo,Malo,9397139,Preventivo,Comentario_sobre_el_mantenimiento_74
75,2024-05-18T00:00:00Z,Correctivo,Malo,Regular,25630,Queja_usuario,Comentario_sobre_el_mantenimiento_75
76,2024-06-25T00:00:00Z,Emergencia,Regular,Regular,52881,Queja_usuario,Comentario_sobre_el_mantenimiento_76
77,2024-05-31T00:00:00Z,Emergencia,Regular,Bueno,32918,Preventivo,Comentario_sobre_el_mantenimiento_77
78,2024-03-19T00:00:00Z,Preventivo,Bueno,Bueno,25696,Queja_usuario,Comentario_sobre_el_mantenimiento_78
79,2024-04-25T00:00:00Z,Correctivo,Bueno,Malo,32726,Preventivo,Comentario_sobre_el_mantenimiento_79
80,2024-05-22T00:00:00Z,Correctivo,Regular,Malo,9492978,Preventivo,Comentario_sobre_el_mantenimiento_80
81,2023-10-28T00:00:00Z,Preventivo,Malo,Malo,58942,Queja_usuario,Comentario_sobre_el_mantenimiento_81
82,2024-10-04T00:00:00Z,Emergencia,Regular,Regular,58669,Queja_usuario,Comentario_sobre_el_mantenimiento_82
83,2024-09-13T00:00:00Z,Emergencia,Bueno,Regular,3568984,Queja_usuario,Comentario_sobre_el_mantenimiento_83
84,2024-01-23T00:00:00Z,Correctivo,Bueno,Regular,8820187,Preventivo,Comentario_sobre_el_mantenimiento_84
