PUNTO_MUESTREO,DIRECCION,COD_POSTAL
28079004,Plaza_de_españa,28008
28079008,Entre_c/alcala_y_c/o’_donell,28009
28079016,Calle_arturo_soria_esq._c/_vizconde_de_los_asilos,28043
28079018,Calle_farolillo-c/ervigio,28047
28079024,Casa_de_campo_(terminal_del_teleferico),28011
28079035,Plaza_del_carmen_esq._tres_cruces.,28013
28079036,Avd._moratalaz_esq._camino_de_los_vinateros,28030
28079038,Avd._pablo_iglesias_esq._c/marques_de_lema,28039
28079039,Avd._betanzos_esq._c/_monforte_de_lemos,28034
28079054,Avda_la_gavia_/avda._las_suertes,28051
28079056,Plaza_a._eliptica-avda._oporto,28025
28079058,Avda._la_guardia,28044
28079059,Parque_juan_carlos_i_(frente_oficinas_mantenimiento),28042
28079102,"Calle_fuente_carantona,8",28025
28079103,"Calle_arroyo_bueno,53",28026
28079104,Embajadores,28012
28079106,Autovia_ia_m-30_km._21.700,28026
28079107,"Carretera_._de_canillas,2",28043
28079108,Calle_d.m._peñagrande,28035
28079109,"Plaza_de_chamberi,4",28010
28079110,"Calle_mayor,72",28013
28079111,"Calle_principe_de_vergara,142",28002
28079112,"Avda._albufera,42",28018
28079113,"Avda._albufera,42",28018
28079114,"Paseo_de_la_chopera,10",28045
28079115,"Paseo_de_la_chopera,10",28045
